MLS,Home_Type,Street_Number,Street_Name,City,Zip,County,List_Price,Market_Area,Area,Subdivision,School_District,Elementary,High_School,Year_Built,Bedrooms,Full_Baths,Half_Baths,Total_Baths,Room_Count,Fireplaces,Stories,Pool_Private,Garages,Style,DOM,CDOM,List_Date
15140876,Single-Family,1707,Hopper,Houston,77093,Harris,139900,34,Northside,Westfield Estates,27 - Houston,BARRICK ELEMENTARY,MACARTHUR HIGH SCHOOL,1940,3,1,0,1,5,0,1,FALSE,0,Traditional,333,333,3/10/2020
76230997,Single-Family,1705,Hopper,Houston,77093,Harris,289900,34,Northside,Westfield Estates,27 - Houston,BARRICK ELEMENTARY,MACARTHUR HIGH SCHOOL,1940,2,1,0,1,4,0,1,FALSE,2,Traditional,335,335,3/8/2020
91994173,Single-Family,3025,Cedar Hill,Houston,77093,Harris,159900,34,Northside,Greenwood Village,27 - Houston,SCARBOROUGH ELEMENTARY,SAM HIGH SCHOOL,1954,3,2,0,2,6,,1,FALSE,,Traditional,92,92,11/6/2020
26012702,Single-Family,7538,Meadowyork,Houston,77037,Harris,235000,34,Northwest Houston,York Meadows,27 - Houston,JOE E MORENO ELEMENTARY,SAM HIGH SCHOOL,1950,3,2,0,2,8,,1,FALSE,,Traditional,103,103,10/26/2020
73504725,Single-Family,612,John Alber,Houston,77076,Harris,179000,34,Northwest Houston,Roosevelt,27 - Houston,BARRICK ELEMENTARY,SAM HIGH SCHOOL,1959,5,3,0,3,8,,1,FALSE,2,Other Style,4,4,1/8/2021
87488353,Single-Family,10904,Julie,Houston,77042,Harris,249900,31,Briargrove Park/Walnutbend,Lakeside Estates T/H Sec 01 R/,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1974,3,3,0,3,3,1,2,FALSE,2,"Contemporary/Modern, Mediterranean, Traditional",273,457,5/9/2020
51661497,Single-Family,11008,Francoise,Houston,77042,Harris,285900,31,Briargrove Park/Walnutbend,Lakeside Estates T/H Sec 01 R/,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1977,3,2,1,2.1,7,1,2,FALSE,,Traditional,79,150,11/19/2020
29742589,Single-Family,10607,Wickersham Ln,Houston,77042,Harris,325000,31,Briargrove Park/Walnutbend,Walnut Bend Sec 05,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1964,3,2,0,2,3,1,1,FALSE,1,Contemporary/Modern,16,92,1/21/2021
22741989,Single-Family,10630,Del Monte,Houston,77042,Harris,375000,31,Briargrove Park/Walnutbend,Walnut Bend Sec 03 R/P,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1965,5,2,0,2,10,1,2,FALSE,1,Traditional,80,80,11/18/2020
71907659,Single-Family,10926,Meadow Lake,Houston,77042,Harris,395000,31,Briargrove Park/Walnutbend,Lakeside Estates Sec 02,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1971,4,3,1,3.1,11,1,1,TRUE,2,Traditional,11,624,1/26/2021
7613817,Single-Family,10706,Russett,Houston,77042,Harris,399900,31,Briargrove Park/Walnutbend,Walnut Bend,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1968,3,2,0,2,7,1,1,FALSE,,"Ranch, Traditional",72,72,11/11/2020
85738795,Single-Family,10810,Piping Rock,Houston,77042,Harris,419900,31,Briargrove Park/Walnutbend,Lakeside Estates Sec 02,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1970,4,2,1,2.1,6,1,1,FALSE,2,Traditional,15,15,1/13/2021
59618353,Single-Family,10730,Olympia,Houston,77042,Harris,429000,31,Briargrove Park/Walnutbend,Walnut Bend Sec 02,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1961,3,2,1,2.1,9,1,1,FALSE,2,"Colonial, French, Traditional",33,33,1/4/2021
22142483,Single-Family,10803,Meadow Lake,Houston,77042,Harris,444900,31,Briargrove Park/Walnutbend,Lakeside Estates,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1972,4,2,1,2.1,12,1,1.5,TRUE,0,Traditional,51,51,12/17/2020
94351267,Single-Family,10727,Del Monte,Houston,77042,Harris,499900,31,Briargrove Park/Walnutbend,Walnut Bend Sec 03 R/P,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1964,4,2,1,2.1,5,0,1,FALSE,,Traditional,81,81,11/17/2020
72237988,Single-Family,2410,Walnut Bend,Houston,77042,Harris,499995,31,Briargrove Park/Walnutbend,Walnut Bend Sec 04,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1964,4,3,1,3.1,4,1,1,FALSE,1,Traditional,89,89,11/9/2020
58131071,Single-Family,10607,Holly Springs,Houston,77042,Harris,515000,31,Briargrove Park/Walnutbend,Walnut Bend Sec 07,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1965,4,3,1,3.1,8,0,2,FALSE,2,Traditional,20,20,1/12/2021
17527078,Single-Family,10619,Candlewood,Houston,77042,Harris,549000,31,Briargrove Park/Walnutbend,Walnut Bend Sec 07,27 - Houston,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL,1967,4,2,1,2.1,6,0,1,FALSE,2,Traditional,2,6,2/4/2021
