Campus_number,School,District,Years_Acad_Unacceptable,2019_Rating
101912102,ALCOTT ELEMENTARY,HOUSTON ISD,0,B
101912104,ALMEDA ELEMENTARY,HOUSTON ISD,0,C
101912105,ANDERSON ELEMENTARY,HOUSTON ISD,0,D
101912478,ARABIC IMMERSION MAGNET SCHOOL,HOUSTON ISD,0,A
101912273,ASHFORD ELEMENTARY,HOUSTON ISD,1,F
101912274,ASKEW ELEMENTARY,HOUSTON ISD,0,C
101912106,ATHERTON ELEMENTARY,HOUSTON ISD,0,A
101912041,ATTUCKS MIDDLE,HOUSTON ISD,0,D
101912001,AUSTIN HIGH SCHOOL,HOUSTON ISD,0,C
101912107,BARRICK ELEMENTARY,HOUSTON ISD,0,C
101912108,BASTIAN ELEMENTARY,HOUSTON ISD,0,B
101912467,BAYLOR COLLEGE OF MEDICINE ACADEMY,HOUSTON ISD,0,B
101912234,BAYLOR COLLEGE OF MEDICINE BIOTECH,HOUSTON ISD,0,B
101912151,BELEMENTARYL ELEMENTARY,HOUSTON ISD,0,B
101912002,BELEMENTARYLAIRE HIGH SCHOOL,HOUSTON ISD,0,B
101912360,BELEMENTARYLFORT EARLY CHILDHOOD CENTER,HOUSTON ISD,0,C
101912295,BENAVIDEZ ELEMENTARY,HOUSTON ISD,0,C
101912268,BENBROOK ELEMENTARY,HOUSTON ISD,0,B
101912109,BERRY ELEMENTARY,HOUSTON ISD,0,B
101912042,BLACK MIDDLE,HOUSTON ISD,0,B
101912110,BLACKSHEAR ELEMENTARY,HOUSTON ISD,0,C
101912111,BONHAM ELEMENTARY,HOUSTON ISD,0,C
101912112,BONNER ELEMENTARY,HOUSTON ISD,0,B
101912114,BRAEBURN ELEMENTARY,HOUSTON ISD,0,B
101912116,BRIARGROVE ELEMENTARY,HOUSTON ISD,0,B
101912344,BRIARMEADOW CHARTER,HOUSTON ISD,0,A
101912117,BRISCOE ELEMENTARY,HOUSTON ISD,0,C
101912119,BROOKLINE ELEMENTARY,HOUSTON ISD,0,A
101912120,BROWNING ELEMENTARY,HOUSTON ISD,0,C
101912121,BRUCE ELEMENTARY,HOUSTON ISD,0,D
101912122,BURBANK ELEMENTARY,HOUSTON ISD,0,A
101912043,BURBANK MIDDLE,HOUSTON ISD,0,A
101912124,BURNET ELEMENTARY,HOUSTON ISD,0,B
101912125,BURRUS ELEMENTARY,HOUSTON ISD,0,C
101912275,BUSH ELEMENTARY,HOUSTON ISD,0,A
101912287,CAGE ELEMENTARY,HOUSTON ISD,0,B
101912322,CARNEGIE VANGUARD HIGH SCHOOL,HOUSTON ISD,0,A
101912292,CARRILLO ELEMENTARY,HOUSTON ISD,0,B
101912323,CHALLENGE EARLY COLLEGE HIGH SCHOOL,HOUSTON ISD,0,A
101912027,CHAVEZ HIGH SCHOOL,HOUSTON ISD,0,C
101912048,CLIFTON MIDDLE,HOUSTON ISD,0,D
