campus_Number,school,district,yrs_unacceptable,rating,year
101902001,ALDINE HIGH SCHOOL,ALDINE ISD,0,C,2019
101902099,ALDINE J J A E P,ALDINE ISD,0,Not Rated,2019
101902041,ALDINE MIDDLE,ALDINE ISD,0,D,2019
101902101,ANDERSON ACADEMY,ALDINE ISD,1,F,2019
101902015,AVALOS P-TECH SCHOOL,ALDINE ISD,0,Not Rated,2019
101902014,BLANSON CTE HIGH SCHOOL,ALDINE ISD,0,A,2019
101902131,BUSSEY ELEMENTARY,ALDINE ISD,0,C,2019
101902128,CALVERT ELEMENTARY,ALDINE ISD,0,B,2019
101902141,CARAWAY ELEMENTARY,ALDINE ISD,0,D,2019
101902122,CARMICHAEL ELEMENTARY,ALDINE ISD,0,B,2019
101902103,CARROLL ELEMENTARY,ALDINE ISD,0,C,2019
101902107,CARTER ACADEMY,ALDINE ISD,0,C,2019
101902002,CARVER HIGH SCHOOL FOR APPLIED TECH/ENGINE,ALDINE ISD,0,B,2019
101902123,CONLEY ELEMENTARY,ALDINE ISD,0,B,2019
101902136,CYPRESSWOOD ELEMENTARY,ALDINE ISD,0,C,2019
101902012,DAVIS HIGH SCHOOL ALDINE,ALDINE ISD,0,C,2019
101902155,DE SANTIAGO EC/PK/K,ALDINE ISD,0,C,2019
101902042,DREW ACADEMY,ALDINE ISD,0,C,2019
101902124,DUNN ELEMENTARY,ALDINE ISD,0,B,2019
101902137,ECKERT ELEMENTARY,ALDINE ISD,1,F,2019
101902004,EISENHOWER HIGH SCHOOL,ALDINE ISD,0,C,2019
101902121,ERMEL ELEMENTARY,ALDINE ISD,0,B,2019
101902138,ESCAMILLA ELEMENTARY,ALDINE ISD,0,C,2019
101902105,FRANCIS ELEMENTARY,ALDINE ISD,0,C,2019
101902053,GARCIA MIDDLE,ALDINE ISD,0,C,2019
101902163,GARCIA-LEZA EC/PK/K,ALDINE ISD,0,C,2019
101902106,GOODMAN ELEMENTARY,ALDINE ISD,0,C,2019
101902048,GRANTHAM ACADEMY,ALDINE ISD,0,C,2019
101902125,GRAY ELEMENTARY,ALDINE ISD,0,B,2019
101902135,GREENSPOINT ELEMENTARY,ALDINE ISD,0,C,2019
101902161,GRIGGS EC/PK/K,ALDINE ISD,0,C,2019
101902013,HALL CENTER FOR EDUCATION,ALDINE ISD,0,D,2019
101902043,HAMBRICK MIDDLE,ALDINE ISD,0,D,2019
101902129,HARRIS ELEMENTARY,ALDINE ISD,0,C,2019
101902098,HIGHPOINT,ALDINE ISD,0,Not Rated,2019
101902144,HILL ELEMENTARY,ALDINE ISD,0,D,2019
101902153,HINOJOSA EC/PK/K,ALDINE ISD,0,A,2019
101902046,HOFFMAN MIDDLE,ALDINE ISD,0,C,2019
101902062,HOUSTON ACADEMY,ALDINE ISD,0,B,2019
101902116,JOHNSON ELEMENTARY,ALDINE ISD,0,C,2019
101902165,JONES EC/PK/K,ALDINE ISD,0,C,2019
101902134,JONES ELEMENTARY,ALDINE ISD,0,C,2019
101902054,JONES MIDDLE,ALDINE ISD,0,C,2019
101902151,KEEBLE EC/PK/K,ALDINE ISD,0,B,2019
101902164,KUJAWA EC/PK/K,ALDINE ISD,0,C,2019
101902130,KUJAWA ELEMENTARY,ALDINE ISD,0,C,2019
101902108,LANE SCHOOL,ALDINE ISD,0,Not Rated,2019
101902052,LEWIS MIDDLE,ALDINE ISD,0,D,2019
101902003,MACARTHUR HIGH SCHOOL,ALDINE ISD,0,C,2019
101902162,MAGRILL EC/PK/K,ALDINE ISD,0,C,2019
101902145,MARCELLA ELEMENTARY,ALDINE ISD,0,C,2019
101902055,MEAD MIDDLE,ALDINE ISD,0,C,2019
101902005,NIMITZ HIGH SCHOOL,ALDINE ISD,0,B,2019
101902115,ODOM ELEMENTARY,ALDINE ISD,0,B,2019
101902146,OGDEN ELEMENTARY,ALDINE ISD,1,F,2019
101902111,OLESON ELEMENTARY,ALDINE ISD,0,C,2019
101902112,ORANGE GROVE ELEMENTARY,ALDINE ISD,0,D,2019
101902051,PLUMMER MIDDLE,ALDINE ISD,0,C,2019
101902113,RAYMOND ELEMENTARY,ALDINE ISD,0,C,2019
101902104,REECE ACADEMY,ALDINE ISD,1,F,2019
101902143,REED ACADEMY,ALDINE ISD,0,C,2019
101902118,SAMMONS ELEMENTARY,ALDINE ISD,0,B,2019
101902047,SHOTWELL MIDDLE,ALDINE ISD,0,C,2019
